Date;Humidity (in %);Temperature (in °C)
'2017-07-08T00:00:00Z';0.50;24.8
'2017-07-08T01:00:00Z';0.55;23.5
'2017-07-08T02:00:00Z';0.60;22.4
'2017-07-08T03:00:00Z';0.63;21.3
'2017-07-08T04:00:00Z';0.61;22.3
'2017-07-08T05:00:00Z';0.63;22.5
'2017-07-08T06:00:00Z';0.60;22.8
'2017-07-08T07:00:00Z';0.59;23.7
'2017-07-08T08:00:00Z';0.55;25.2
'2017-07-08T09:00:00Z';0.51;26.7
'2017-07-08T10:00:00Z';0.49;28.0
'2017-07-08T11:00:00Z';0.46;29.6
'2017-07-08T12:00:00Z';0.42;30.5
'2017-07-08T13:00:00Z';0.40;31.0
'2017-07-08T14:00:00Z';0.56;26.3
'2017-07-08T15:00:00Z';0.70;24.0
'2017-07-08T16:00:00Z';0.44;30.0
'2017-07-08T17:00:00Z';0.37;29.7
'2017-07-08T18:00:00Z';0.34;29.9
'2017-07-08T19:00:00Z';0.37;29.0
'2017-07-08T20:00:00Z';0.44;27.7
'2017-07-08T21:00:00Z';0.54;24.3
'2017-07-08T22:00:00Z';0.54;24.5
'2017-07-08T23:00:00Z';0.56;24.1
'2017-07-09T00:00:00Z';0.55;24.0
'2017-07-09T01:00:00Z';0.58;23.4
'2017-07-09T02:00:00Z';0.66;21.5
'2017-07-09T03:00:00Z';0.68;21.0
'2017-07-09T04:00:00Z';0.68;21.3
'2017-07-09T05:00:00Z';0.75;20.0
'2017-07-09T06:00:00Z';0.77;19.9
'2017-07-09T07:00:00Z';0.72;21.5
'2017-07-09T08:00:00Z';0.63;24.0
'2017-07-09T09:00:00Z';0.60;25.4
'2017-07-09T10:00:00Z';0.57;26.3
'2017-07-09T11:00:00Z';0.52;27.6
'2017-07-09T12:00:00Z';0.48;28.5
'2017-07-09T13:00:00Z';0.44;30.1
'2017-07-09T14:00:00Z';0.44;30.9
'2017-07-09T15:00:00Z';0.39;31.1
'2017-07-09T16:00:00Z';0.76;22.7
'2017-07-09T17:00:00Z';0.70;23.2
'2017-07-09T18:00:00Z';0.67;24.5
'2017-07-09T19:00:00Z';0.67;24.3
'2017-07-09T20:00:00Z';0.70;24.0
'2017-07-09T21:00:00Z';0.80;23.3
'2017-07-09T22:00:00Z';0.75;23.1
'2017-07-09T23:00:00Z';0.85;22.3
'2017-07-10T00:00:00Z';0.92;21.0
'2017-07-10T01:00:00Z';0.90;19.6
'2017-07-10T02:00:00Z';0.89;19.2
'2017-07-10T03:00:00Z';0.93;19.2
'2017-07-10T04:00:00Z';0.93;18.6
'2017-07-10T05:00:00Z';0.95;18.2
'2017-07-10T06:00:00Z';0.92;18.7
'2017-07-10T07:00:00Z';0.87;19.7
'2017-07-10T08:00:00Z';0.81;20.8
'2017-07-10T09:00:00Z';0.86;20.5
'2017-07-10T10:00:00Z';0.79;22.4
'2017-07-10T11:00:00Z';0.61;25.8
'2017-07-10T12:00:00Z';0.57;27.6
'2017-07-10T13:00:00Z';0.54;29.1
'2017-07-10T14:00:00Z';0.53;29.9
'2017-07-10T15:00:00Z';0.56;30.0
'2017-07-10T16:00:00Z';0.84;25.6
'2017-07-10T17:00:00Z';0.89;24.1
'2017-07-10T18:00:00Z';0.87;23.4
'2017-07-10T19:00:00Z';0.83;24.0
'2017-07-10T20:00:00Z';0.84;22.3
'2017-07-10T21:00:00Z';0.95;20.8
'2017-07-10T22:00:00Z';0.96;21.0
'2017-07-10T23:00:00Z';0.96;20.5
'2017-07-11T00:00:00Z';0.96;20.5
'2017-07-11T01:00:00Z';0.96;20.6
'2017-07-11T02:00:00Z';0.85;20.8
'2017-07-11T03:00:00Z';0.82;20.6
'2017-07-11T04:00:00Z';0.82;20.4
'2017-07-11T05:00:00Z';0.81;20.2
'2017-07-11T06:00:00Z';0.82;19.8
'2017-07-11T07:00:00Z';0.81;19.7
'2017-07-11T08:00:00Z';0.74;20.1
'2017-07-11T09:00:00Z';0.69;21.0
'2017-07-11T10:00:00Z';0.65;21.6
'2017-07-11T12:00:00Z';0.57;22.8
'2017-07-11T13:00:00Z';0.44;26.3
'2017-07-11T14:00:00Z';0.41;27.3
'2017-07-11T15:00:00Z';0.38;27.7
'2017-07-11T16:00:00Z';0.36;27.8
'2017-07-11T17:00:00Z';0.35;28.6
'2017-07-11T18:00:00Z';0.37;28.1
'2017-07-11T19:00:00Z';0.38;27.5
'2017-07-11T20:00:00Z';0.40;26.2
'2017-07-11T21:00:00Z';0.48;23.9
'2017-07-11T22:00:00Z';0.51;23.4
'2017-07-11T23:00:00Z';0.55;22.6
'2017-07-12T00:00:00Z';0.60;21.6
'2017-07-12T01:00:00Z';0.58;21.7
'2017-07-12T02:00:00Z';0.60;21.3
'2017-07-12T03:00:00Z';0.66;20.3
'2017-07-12T04:00:00Z';0.64;20.3
'2017-07-12T05:00:00Z';0.68;19.8
'2017-07-12T06:00:00Z';0.70;20.0
'2017-07-12T07:00:00Z';0.66;21.5
'2017-07-12T08:00:00Z';0.62;22.4
'2017-07-12T09:00:00Z';0.54;24.8
'2017-07-12T10:00:00Z';0.49;25.9
'2017-07-12T11:00:00Z';0.43;27.4
'2017-07-12T12:00:00Z';0.37;27.7
